campaign_id,rank,image_id,duplicate_group_id,canonical_image_id,diagnostic_accept_score,campaign_score_percentile_desc,feature_snapshot_id
phase1b_indoor_gallery_winter_art,4,raw_a2c7f6c5ab,dup_exact_162d9732686f,raw_a2c7f6c5ab,0.9636022243624549,0.94,feat_v2_2_5__phase1b_indoor_gallery_winter_art__raw_a2c7f6c5ab__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,5,raw_61fc86118e,dup_exact_dd008cd5d594,raw_61fc86118e,0.9415619314892365,0.92,feat_v2_2_5__phase1b_indoor_gallery_winter_art__raw_61fc86118e__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,6,raw_4e6c171e96,dup_exact_d52b72f2194c,raw_4e6c171e96,0.9295031241912302,0.9,feat_v2_2_5__phase1b_indoor_gallery_winter_art__raw_4e6c171e96__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,7,raw_85061583f9,dup_exact_e8c6df75b24f,raw_85061583f9,0.9240264467604411,0.88,feat_v2_2_5__phase1b_indoor_gallery_winter_art__raw_85061583f9__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,8,raw_d64c6196f5,dup_exact_c36da4c39cd2,raw_d64c6196f5,0.9153364971854724,0.86,feat_v2_2_5__phase1b_indoor_gallery_winter_art__raw_d64c6196f5__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,9,raw_19c9aa3ffa,dup_exact_39d154f18e8e,raw_19c9aa3ffa,0.9004551754288196,0.84,feat_v2_2_5__phase1b_indoor_gallery_winter_art__raw_19c9aa3ffa__layout_top_left_bottom_left
phase1b_indoor_gallery_winter_art,10,raw_9b34fc0214,dup_exact_4f3e767139ec,raw_9b34fc0214,0.8969325916165499,0.8200000000000001,feat_v2_2_5__phase1b_indoor_gallery_winter_art__raw_9b34fc0214__layout_top_left_bottom_left
phase1b_summer_garden_walk,1,raw_9b34fc0214,dup_exact_4f3e767139ec,raw_9b34fc0214,0.995954485468422,1.0,feat_v2_2_5__phase1b_summer_garden_walk__raw_9b34fc0214__layout_top_left_bottom_left
phase1b_summer_garden_walk,2,raw_8deb1c497d,dup_exact_d66c0c1dff98,raw_8deb1c497d,0.9935608778956204,0.98,feat_v2_2_5__phase1b_summer_garden_walk__raw_8deb1c497d__layout_top_left_bottom_left
phase1b_summer_garden_walk,3,raw_e1064a803d,dup_exact_0ebb91e1a6e4,raw_e1064a803d,0.9638453827893441,0.96,feat_v2_2_5__phase1b_summer_garden_walk__raw_e1064a803d__layout_top_left_bottom_left
phase1b_summer_garden_walk,4,raw_b37dfe627b,dup_exact_39d154f18e8e,raw_19c9aa3ffa,0.9410984333012712,0.94,feat_v2_2_5__phase1b_summer_garden_walk__raw_b37dfe627b__layout_top_left_bottom_left
phase1b_summer_garden_walk,5,raw_50d3d9c9da,dup_exact_c0ae56ade264,raw_50d3d9c9da,0.9258415310782803,0.92,feat_v2_2_5__phase1b_summer_garden_walk__raw_50d3d9c9da__layout_top_left_bottom_left
phase1b_summer_garden_walk,6,raw_41179036b8,dup_exact_c90c21a044aa,raw_22d63fd86a,0.9021693961302879,0.9,feat_v2_2_5__phase1b_summer_garden_walk__raw_41179036b8__layout_top_left_bottom_left
phase1b_summer_garden_walk,7,raw_e6b27b849a,dup_exact_524a030305ad,raw_e6b27b849a,0.8966607626909616,0.88,feat_v2_2_5__phase1b_summer_garden_walk__raw_e6b27b849a__layout_top_left_bottom_left
phase1b_summer_garden_walk,8,raw_31b278973b,dup_exact_30bc26797ec5,raw_31b278973b,0.8579613918256942,0.86,feat_v2_2_5__phase1b_summer_garden_walk__raw_31b278973b__layout_top_left_bottom_left
phase1b_summer_garden_walk,9,raw_7f1ff1b54d,dup_exact_3fc82a73fdce,raw_7f1ff1b54d,0.8503683274733984,0.84,feat_v2_2_5__phase1b_summer_garden_walk__raw_7f1ff1b54d__layout_top_left_bottom_left
phase1b_summer_garden_walk,10,raw_0c5ae66373,dup_exact_c6ee6e354165,raw_0c5ae66373,0.8266518339161056,0.8200000000000001,feat_v2_2_5__phase1b_summer_garden_walk__raw_0c5ae66373__layout_top_left_bottom_left
